address,overall_balance,transferable_balance,available_balance,available_balance_safe,available_balance_unsafe,last_height,updated_at,token
"bc1p24m8c7rrt7yue3cuxaxqupzltgpqhflnvtr3gukf5n6j7mdaxqys32yxeh","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:07","SCAT"
"bc1p24wdwylqkcppm05d7295v0sqld4e5r7gzj6s5ujx54l38ykc4njs29sj5v","10000.00000000","10000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:31","SCAT"
"bc1p263vz98hvj5sfex55v45vu7ncx27znwmtk400cgr7u830m9m2umsynhwzn","13000.00000000","0.00000000","13000.00000000","13000.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"bc1p26n98v9kqtwzd9mqgjeapc72we4vxrhtzdygxwqa0jfhqdxxy6fq9c0qfq","800000.00000000","800000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:03:57","SCAT"
"bc1p26truurzcaqpcqnzmxgp6sdvjuu36rhd6pw84evr7m9fyygy68aqhzlq3u","3000000.00000000","0.00000000","3000000.00000000","3000000.00000000","0.00000000","928300","2025-12-18 01:27:20","SCAT"
"bc1p274u6dvff7y2ygwddl563fyka2gkdwn8a9a4rvlrmkuprljdzk9qmzv2s4","27000.00000000","0.00000000","27000.00000000","27000.00000000","0.00000000","928275","2025-12-17 22:04:17","SCAT"
"bc1p27da3tm4wuhhlcrtnk2acps5yet4xkeptytqnvl3qjuymx5k536sv8ft7p","10000.00000000","10000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:31","SCAT"
"bc1p2890999lqcjg4nw7kx4xkf0c75z7p6phg0mwmn93nsyp0pc73c4qd9uvlk","6000.00000000","6000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:35","SCAT"
"bc1p28g83xwxa6styfj95zrx60lu8etz9ts8f3gvkwwkdn3kmtqrv4hsepu77a","5000.00000000","0.00000000","5000.00000000","5000.00000000","0.00000000","928275","2025-12-17 22:04:35","SCAT"
"bc1p2a0w0cugr5yjy0savg3da62wqlc3e8209px74xg2egyz3jzu4zysuhxuyz","20000.00000000","0.00000000","20000.00000000","20000.00000000","0.00000000","928275","2025-12-17 22:04:24","SCAT"
"bc1p2d3uhk0jsrllvegwpadlh6n495j52c3xamppjq9ajnz9mf3779ssj8aeds","500000.00000000","500000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:03:57","SCAT"
"bc1p2djg5ljz9sx3jwx8hdp89x5spl3mau4lfx0fx3zklaxj70nvrutsvfwnkv","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:45","SCAT"
"bc1p2e9jenv0xev3ygq962t3aphdlk8k7pdhp520k7zt0xka8r7dvcgq7m77u8","16000.00000000","0.00000000","16000.00000000","16000.00000000","0.00000000","928275","2025-12-17 22:04:25","SCAT"
"bc1p2ehs6wjs6zjkyxaq4n530qpe3k78hgla6mm40nxv44w3s28txa5q3pwaq6","24000.00000000","0.00000000","24000.00000000","24000.00000000","0.00000000","928275","2025-12-17 22:04:19","SCAT"
"bc1p2eyuwy609nlw8xzfg96pvzuxnep27u9g72u9csev9ghudsz2pn5szmm86a","1000000.00000000","1000000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:03:57","SCAT"
"bc1p2g6wccej7uz4c5rye8j7n7dum8ukt4xf3e75ykp8u788mdprfkjsgwk49t","48000.00000000","48000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:13","SCAT"
"bc1p2gdrwdrpgqg860t6ddgzg5n95aun5r5586ljh54cgh9a8tawjl3sfxzm53","24000.00000000","0.00000000","24000.00000000","24000.00000000","0.00000000","928275","2025-12-17 22:04:19","SCAT"
"bc1p2gh3dt0ymg46ta8w2m7kxc0u353nlqzm8a4k2ndjgmqppxf4w9vqx5xnfz","12000.00000000","0.00000000","12000.00000000","12000.00000000","0.00000000","928275","2025-12-17 22:04:27","SCAT"
"bc1p2hpn28k7pdh7zpe6zpvwjnmhyyha8swrjhty3x4ja0fwpyxegskslmh99z","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:07","SCAT"
"bc1p2jm9kh5fceycmj60n9x0hx8xlkysjs52spq7rylxw2xgz0t437xqtwlxsn","3000.00000000","0.00000000","3000.00000000","3000.00000000","0.00000000","928275","2025-12-17 22:04:39","SCAT"
"bc1p2jmq0dkchnjjtfg3aepj8lmpng5ama37xx23z0ucst9l79tktfsqry8hcn","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:45","SCAT"
"bc1p2jzw840xzj6jfrgmpr3uhazz3kr28q0rqv3prj3agdk4s5zdac5qamv50f","100000.00000000","100000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:07","SCAT"
"bc1p2m3lx259y92dwgv3cr05apjlzpvw6ulhgh5t6n2p3jxm9hlpx4ns0t34u9","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:05","SCAT"
"bc1p2m3s5znxcvxtn7vk62szkar9sau60drxlvpvjduret45g2a90atqzrwxtp","5000.00000000","5000.00000000","0.00000000","0.00000000","0.00000000","928300","2025-12-18 01:33:36","SCAT"
"bc1p2n50at4df42edq6d6zpe9y5meke5mzpk3ef88fc5mhwsnh7jmxtqrlmz8p","115199.00000000","0.00000000","115199.00000000","115199.00000000","0.00000000","928275","2025-12-17 22:04:05","SCAT"
"bc1p2qcjrxdg4e9m08sl5cvvjfgqkgljjcs8zxj48wlewhjgk24n5rjq3fv74r","13000000.00000000","0.00000000","13000000.00000000","13000000.00000000","0.00000000","928300","2025-12-18 01:26:15","SCAT"
"bc1p2qvrntccdj7gx5wl09q7nkrs4ntsgkr36uu2aj28erxqqrfu0fksf2qm8r","35000.00000000","35000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:15","SCAT"
"bc1p2u06vl9p5k9r3uljq352t99pqhcsez78pa55aj8tnluck628un7qhac884","51000.00000000","0.00000000","51000.00000000","51000.00000000","0.00000000","928275","2025-12-17 22:04:09","SCAT"
"bc1p2u3klph2kyfl6l0gsp2p8r4667m7x9u5svscp3kswpqxev89zp8qd2gv0d","16000.00000000","16000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:25","SCAT"
"bc1p2ulz8s8tvt3z5299xzav0xth97kcs78k295nysvnl9v7xvtw3aesw2kssg","523200.00000000","323200.00000000","200000.00000000","200000.00000000","0.00000000","928275","2025-12-17 22:03:57","SCAT"
"bc1p2vsse8mr755tk79wcndrjme7ymyv28hm555ycqdlrs2yvrhcr72ql8d0nc","4.00000000","0.00000000","4.00000000","4.00000000","0.00000000","928299","2025-12-18 01:22:32","SCAT"
"bc1p2vuzh7yyx5t2l5gkgplplkchj8x4gtg668tpt797qs5rs3vx2husvz0snh","400000.00000000","0.00000000","400000.00000000","400000.00000000","0.00000000","928275","2025-12-17 22:03:59","SCAT"
"bc1p2w87akfmynzawsj6m8pwk3l58zptcqeh5dgus70k5uyh4pcnqhxqx3lfl6","20000.00000000","0.00000000","20000.00000000","20000.00000000","0.00000000","928275","2025-12-17 22:04:24","SCAT"
"bc1p2x47awkeqza3qtfzt926ezz3a5vlgwlnvqd65juvhnvu62uz9nzsud3xfc","40000.00000000","20000.00000000","20000.00000000","20000.00000000","0.00000000","928275","2025-12-17 22:04:13","SCAT"
"bc1p2x8vd7h9vjrdunmdwl35gkamgwfya9whurvyx53ejq49nc6arpuqsn9a9s","17000.00000000","17000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:25","SCAT"
"bc1p2yszc0lz6062uqx2etf26vj0eeap94um0p3vxq5n0m6kqtqhra4smm3kj9","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:45","SCAT"
"bc1p2yydhq35s2hz8a984vcwq8f2v8r52js6cm3z6fxegyje0davuu6shxxz5u","10000.00000000","0.00000000","10000.00000000","10000.00000000","0.00000000","928275","2025-12-17 22:04:31","SCAT"
"bc1p2yzk83240e9j6pzl7gdxyx8gtj5n860prs5jm4zyk5vpq54fafpsyg25hr","1000.00000000","0.00000000","1000.00000000","1000.00000000","0.00000000","928275","2025-12-17 22:04:45","SCAT"
"bc1p30jwnuptgs38gqdjq4xajyyhxu5dh8kdh264jx8cn0fh47uc7l9she6psu","5000.00000000","0.00000000","5000.00000000","5000.00000000","0.00000000","928275","2025-12-17 22:04:35","SCAT"
"bc1p30xpc3ssfw8r4wcvn4m0egdtun7w62v6tlffw4h24y0tz8sh9wlq9544cs","100000.00000000","0.00000000","100000.00000000","100000.00000000","0.00000000","928275","2025-12-17 22:04:05","SCAT"
"bc1p33d7kl0pfv4y5h6aa906x7jsh67ufh8quz5wn8hnh5lcmt0q8vvqryhj57","10000.00000000","0.00000000","10000.00000000","10000.00000000","0.00000000","928275","2025-12-17 22:04:29","SCAT"
"bc1p33tgclyrp60lz72v2x8qgh4zt4fk7gpaq8s2cr0feg8h4q4kwqkqhud882","50000.00000000","50000.00000000","0.00000000","0.00000000","0.00000000","928275","2025-12-17 22:04:11","SCAT"
"bc1p33w96qs6yut4dtd6aumhda8vd7j58chf4nwt4exmatnaf3xljc4sm69t6f","730002.00000000","0.00000000","730002.00000000","730002.00000000","0.00000000","928275","2025-12-17 22:08:40","SCAT"
