ticker,height,atomical_id,utxo_count,utxo_amount,minted_times,minted_amount,max_mints
btcd,860000,000082bb15354d4b9aad6b34d21f171e1fa8890f3a9fdb49af66bc5d513a7d9di0,261,245976,280,248640,888
btcfi,860000,000069ca523e37e6c3d4bfeca10ca692d45676bd081917f64f3f8f19730f2840i0,0,0,0,0,1000000
btcopper,860000,000003423de3da3447ee22e73b81904afacb43c02764161af74cc654ad9a031ci0,0,0,0,0,1000000
btcs,860000,51184faf1a7a162db05a7311f92580748cc340521899d73cb779fa812b1d6848i0,861,873554,936,936000,21000
btcsoul,860000,000062cc9afabc1ec3ca18d6b2319ced841b3ec9f7dfebfa2b9782ab5e569b86i0,0,0,0,0,21000
btdollar,860000,000003a4ebb5f100c4f58e37a66b76806c33bf74abd6f51eb6de072948a670dei0,0,0,0,0,1000000
btgold,860000,0000bab04511a27c41f97551670c876c8ca83f4e63dfe8f78bd88b2ba5dedb31i0,0,0,0,0,1000000
btmoney,860000,0000fb34ff869fb9388eadb18d8da35f65c79f2f658f1a0110e91f970e45c99ei0,0,0,0,0,1000000
btpay,860000,0000f282ddc71e63fe07d484fe55454e918e9671ab20b50c8ffb6b670e77b7e8i0,0,0,0,0,1000000
btsilver,860000,0000cb63396a3c6a15669e5a7646fffa4f7e018d671bd45fa56b4b3a8b86582ci0,0,0,0,0,1000000
btusd,860000,00009fa10483e5a341bbeb5775647833054335e21fa4bc14d293816417cf72a2i0,0,0,0,0,1000000
build,860000,1618dcd3b03bd06e77540f76b597a93134b226838827605c6a1dc1140e4c08a5i0,21,21000,21,21000,21000
c,860000,0000c30ac945761d6f4cc1ea57e746677d54ebd37d9e90af49d444721da0fe71i0,3,3000,3,3000,21000
c0,860000,c0c08b8d33c6e46ce42eb5e15361860abb04dab1583d78e3a4c4bb7bed1dc08ei0,0,0,0,0,19000
carbon,860000,3083adcccb7a5aa68a08e897734f98f51dd76a86f8876d4a03a18ca4add3ae97i0,75,1600000,90,1800000,500000
cation,860000,0000c47118db4d71acde9f3433111647d65370bc6706fc4573f2b556877a0851i0,21,66660,20,66660,2222
cats,860000,6666d013bfc969e8f69ad0c9fe15923914484a571c840299ebb347cb3098a38ci0,73,7335000,464,9280000,500000
cell,860000,ce11571138ebad278dd50fe4c0db1dba30b30490a37eee5476358dc544865ccdi0,1,1111111,1,1111111,1
chernobyl,860000,0000e70f3453b843ec90a42095146acb91b350267c930220275822670c07c4a3i0,12,147171,10,200000,10
china,860000,0000582854b6c9c651f8c441e55a08ee235f6612b75756cadde61a9599bad083i0,0,0,0,0,10000
chip,860000,52a35ec714ea016cd81f7d1b11244ce92008eb7ca55c5839225f26dd0b9c32e0i0,3,3000,6,6000,21000
clmg,860000,3250234587892a01a5388d9c25747b7b6730f7c3aebd6dc1a394ea40f7f557f7i0,2,2000,1,2000,500000
coin,860000,3d2a63f1b35716431c30dd2803afc67273b6fc0211d9baf38e323c25a800e711i0,118,122000,126,126000,21000
coinbase,860000,0000ee0c16d323b32bcf592543e3f3a1e411704c14973d66192f78bc1bc534dci0,1,30000,1,0,0
color,860000,0000c5e5284edf5726438332ac17a9b826b75713667e9c29ac13c5a505c8ca91i0,0,0,0,0,10000
colorbitcoin,860000,00007fff20d69c4cc63ca5b891954d2cf93bad077b2a70415a1ef01c306ce133i0,0,0,0,0,100000
colorbtc,860000,0000c74e455eb73d27d1813d437bb4aca6e110f5a654c68bdad075db18273af0i0,0,0,0,0,100000
colorcoin,860000,0000ede44c993d46307bdc7b1538abaf1ec1179f1e2de80524f2ce484f9484a8i0,0,0,0,0,100000
colorcoins,860000,00008afd079ec11e8667b7dc6dcdb0158b066bc6d26a33e95445dff10cc3d665i0,0,0,0,0,100000
colored,860000,0000d9903f077387b8504ea15cbc75282ce69ee78e1f172c585023316f5c2cb6i0,0,0,0,0,10000
coloredbitcoin,860000,00002cf05244e8c97f4bdee853ab3fc931a7ca61b79fd02e56507f90327245b7i0,15097,20913623,21000,21000000,21000
coloredbitcoins,860000,0000ea05ab5ad6fd1591133e1b078f03f78a9fd44538f3e17205a5cfa0b1e27fi0,0,0,0,0,100000
coloredbtc,860000,00007eed36a9e98f415f4a93944aca2d734ee137c948abeef57c20337355fae7i0,0,0,0,0,10000
coloredcoin,860000,0000ee30e140bed11faec2fff92b8a46ce63399f5ec10634c307496f844e0d3ci0,0,0,0,0,10000
coloredcoins,860000,0000e738cba15b291f40a67526444720bc90d79b57e87e6d712592007b1e8f5bi0,0,0,0,0,10000
coloredsat,860000,00000a29979e58a12f02319a35a92a99b074590ed861b8dc90fdeb1fd729ccafi0,0,0,0,0,10000
coloredsatoshi,860000,0000bb7ed08d183a0a50b5d76959d06be9f6f425a82c3f8c2de151fc088b440bi0,0,0,0,0,10000
coloredsatoshis,860000,0000ce770b1738f1b6b4ae2b4bafef6730c8c58dd8507022341266ef441e4fb4i0,0,0,0,0,100000
coloredsats,860000,0000a86af64d10a2017da8d6fa8c960bc273242acd219680a64be73e7afbfb35i0,0,0,0,0,1000
coloredtoken,860000,0000921012a7a032f6e4a084a8abd0313e45cd575d163a4506b2bb64a7a2a0dfi0,0,0,0,0,100000
coloredtokens,860000,000081a0ba8cd88470d9e0fc84e5afcab767153aa9d3a6b3c7d7b699e33ffa3fi0,0,0,0,0,100000
colorful,860000,629230fca7d53042280eca159dda65edde4f5907490dd029a64c9ad4faaff910i0,0,0,0,0,1000000
